country,year,military_expenditures_usd_2022,military_expenditures_current_usd,share_GDP,share_govt
Albania,1993,151533514.46049118,39289843.42850424,0.0319945106674964,
Albania,1994,144847391.7544189,49649504.93166059,0.0254781906037647,
Albania,1995,134975891.5441541,50907521.77782572,0.0205358735905793,
Albania,1996,121210260.2983265,45713356.1086709,0.0137902962734156,
Albania,1997,84629698.0816887,29825491.99975828,0.0128308078036268,0.0442469942524728
Albania,1998,80019074.0349281,33638047.439804025,0.0123824256064749,0.0358251376938142
Albania,1999,92670950.71171224,42784205.21312214,0.0124921009885957,0.0357882714586864
Albania,2000,102498711.29259315,45362503.392271884,0.0124636024189215,0.0384384065661925
Albania,2001,116473318.52149029,53232045.16151514,0.0130929137475594,0.0414741288966839
Albania,2002,116310416.54019696,58649352.50258642,0.0132003449433204,0.0426975280105133
Albania,2003,130662523.6803213,76142881.76066567,0.0133684292419802,0.0461292952593064
Albania,2004,142808833.22403824,100922358.43549329,0.0138115794211088,0.0466321103763279
Albania,2005,147940013.20277634,110140852.68593363,0.0135000497056322,0.0473437520175261
Albania,2006,181709926.4215064,140983900.65991595,0.0156776908873067,0.0542898862467715
Albania,2007,224881140.88045424,194840309.24084276,0.018207653435572,0.0622608105672698
Albania,2008,264978732.6573931,255677957.81850088,0.0198486885667765,0.0625619786501779
Albania,2009,209651598.60610545,182736862.4977758,0.015172171395597,0.0464272721436367
Albania,2010,225221167.7802813,185893241.99507388,0.0155859189302348,0.0530374152460951
Albania,2011,224020416.29104623,197006789.2363348,0.0152826633776626,0.0528386450211732
Albania,2012,218930236.61914092,183204695.66021168,0.0148708257655216,0.0526790009594913
Albania,2013,206121730.80983555,180015508.82086658,0.0140898210141145,0.0482648553602102
Albania,2014,200329035.1873499,178120368.02776304,0.0134651599128913,0.0424378498276555
Albania,2015,174448452.75013083,132350667.5908342,0.0116230386432233,0.0377889251316412
Albania,2016,167901560.5429662,130853203.62646383,0.0110358100880451,0.0378723434007732
Albania,2017,174245346.75243726,144382688.71993476,0.0110915100558884,0.0380346444991408
Albania,2018,188615623.29278067,175886688.57587415,0.0116054478505068,0.0399130087621609
Albania,2019,212183604.3490996,197225913.31889257,0.0128080596201471,0.0440511619586606
Albania,2020,205696605.85582805,196596308.98441818,0.0129583570269738,0.0398075632132468
Albania,2021,217860482.5074781,222814540.11666086,0.0124298808396066,0.0386998513866663
Albania,2022,228693159.6237378,228693159.6237378,0.0121098343566728,0.0397041542821594
Albania,2023,339929781.7855132,397617613.0695456,0.0174399167669185,0.0561952875583331
Armenia,1993,67576003.16417281,9829763.86600769,0.0229664433319048,
Armenia,1994,,,,
Armenia,1995,166997654.6181426,52228583.81702258,0.0405931190833614,
Armenia,1996,144029803.57183322,52410268.54828387,0.0328186700423013,
Armenia,1997,183140644.28782424,64062121.19051354,0.0390939855980585,
Armenia,1998,180649386.5719136,66757573.05685114,0.0352809600318196,
Armenia,1999,194409442.16016704,68234148.56596059,0.0369737423084245,
Armenia,2000,197067073.0178581,68052142.06544264,0.0356002487253697,
Armenia,2001,191351660.94938663,66247626.459704764,0.0312724938530975,
Armenia,2002,189256981.63931778,64106405.65236426,0.0269771474886414,
Armenia,2003,217948457.000647,76587998.88728201,0.0272837221377968,
Armenia,2004,240490913.67588848,98070488.1985412,0.0274199670493715,
Armenia,2005,294225336.61807525,140738102.6771571,0.0287193136291811,0.1445280859800083
Armenia,2006,347573194.9549691,188189116.4311124,0.0294761315625863,0.1473773176470588
Armenia,2007,407416450.4251285,280108688.3439205,0.0304257470127966,0.1357100468940981
Armenia,2008,472851696.7620607,395994365.44225067,0.0339557936270657,0.1527066029769482
Armenia,2009,492893096.8327557,359499343.4870335,0.0415704990783508,0.1455881549655482
Armenia,2010,514948202.8747616,395011507.7878285,0.042656460559377,0.1628077049077257
Armenia,2011,471872314.75056726,390871433.90219086,0.0385394644115574,0.1543779290455287
Armenia,2012,483171133.50950813,380571678.8960684,0.0358376691873744,0.1598840553037797
Armenia,2013,543951510.4584104,444551859.5011059,0.0399724455730483,0.1679749836268206
Armenia,2014,552311223.4658215,457807021.791353,0.0394337826474581,0.1643712988380725
Armenia,2015,597875037.2638875,447379807.5068189,0.0423922578573229,0.1609986220190809
Armenia,2016,587835484.8873566,431396218.6016581,0.0409034921699325,0.1512268439139349
Armenia,2017,601706741.0167009,443610413.34099466,0.0384973057654683,0.1479150699119627
Armenia,2018,679183451.8594626,513252026.4823678,0.0411988615256895,0.1713070459131492
Armenia,2019,846098784.4153564,652000174.8240832,0.0478770584078563,0.1922593038098978
Armenia,2020,821937931.9422023,633960400.1152595,0.0498254372367497,0.1625714511915129
Armenia,2021,777240743.8962734,619435471.7100929,0.0446514475903396,0.1557616125330539
Armenia,2022,795201580.0497068,795201580.0497068,0.0408174595925594,0.15473492702634
Armenia,2023,1152829029.9756484,1329532625.2982075,0.0545092500345977,0.1996065543595387
Austria,1993,3430155799.9647923,2115115266.6843324,0.0111558454134251,0.0205751372251182
Austria,1994,3445233429.985476,2227560550.1315575,0.0109445307622702,0.0202627916406395
Austria,1995,3414975470.075972,2557834494.186181,0.010732320520695,0.0190122554987419
Austria,1996,3382997735.980317,2457903048.657642,0.0104968297742271,0.0186221022984657
Austria,1997,3390598079.6234097,2164802343.3985367,0.0104643398189712,0.0194611688864562
Austria,1998,3399852144.4470396,2159796003.210237,0.0101807286299799,0.018307218301565
Austria,1999,3469351412.2993436,2124379545.8685932,0.0098024612338221,0.019444742410797
Austria,2000,3553066766.7192926,1925557398.1942143,0.0098031858008593,0.01931590281051
Austria,2001,3310632133.83358,1788798310.5296597,0.009082400407095,0.0176504348593881
Austria,2002,3252495535.522574,1881746741.32982,0.0088352783657309,0.0168193442016184
Austria,2003,3387224280.5640073,2381962768.9230886,0.0091364031878925,0.0182318437443308
Austria,2004,3393197206.011864,2679282064.653915,0.0089348046624293,0.0165790767717745
Austria,2005,3320318042.6862507,2686166243.8442025,0.0085014257402626,0.0166192198199584
Austria,2006,3189184442.193158,2640185362.4390163,0.0078581324445919,0.0155982953492681
Austria,2007,3792630450.870606,3499817967.3107615,0.0090045717278703,0.0182864212363053
Austria,2008,3675467469.839296,3746731607.2801843,0.0087070512307058,0.017459147315395
Austria,2009,3432056187.120493,3334754939.6187778,0.0083337956469292,0.0153927540878486
Austria,2010,3412348905.486228,3218351224.099226,0.0082123271153062,0.0155432460438281
Austria,2011,3334766182.1226406,3409721208.582689,0.0079089755845203,0.0155406732517693
Austria,2012,3290764706.964214,3187227448.7532983,0.0077846425064703,0.015200406880197
Austria,2013,3163026683.1644526,3229065841.3429303,0.0075082538308457,0.014537368568918
Austria,2014,3188815042.462056,3305159256.482455,0.0074778009537978,0.0142919429974527
Austria,2015,3049091222.723286,2665409781.5237885,0.0069811641313398,0.0136811785600437
Austria,2016,3281431409.155016,2885947386.103568,0.0072973769179348,0.0145739672398483
Austria,2017,3445492584.704221,3153118623.814945,0.0075727903370209,0.0153610008182721
Austria,2018,3466510135.912601,3387982011.968415,0.0074502803964834,0.0152801954740725
Austria,2019,3544844966.775557,3336542767.5772505,0.0075035965749035,0.0154167679725206
Austria,2020,3952569217.144731,3840077510.5437136,0.0088412714508891,0.015570304159137
Austria,2021,4051202049.2028866,4196428571.4285717,0.008736941368808,0.0155865661676857
Austria,2022,3612733177.9514837,3612733177.9514837,0.0076852856615467,0.0145560179338751
Austria,2023,3981109213.2871842,4409985263.676476,0.0084427484073798,0.0163257715135904
Azerbaijan,1993,378032805.5349604,77519379.84496124,0.0500046778569608,
Azerbaijan,1994,190994185.18483278,43942747.058542565,0.01946584590385,0.0802325581395348
Azerbaijan,1995,157938262.4124966,66159968.91387762,0.0273690130284,0.1467336683417085
Azerbaijan,1996,139064809.0527655,71606841.24321565,0.0225423034135488,0.114074074074074
Azerbaijan,1997,159831096.30527258,92086691.9675062,0.0232404979925782,0.1150470219435736
Azerbaijan,1998,182142849.82670596,107262858.61979839,0.0241235591259714,0.1338709677419355
Azerbaijan,1999,237742091.1539253,120262173.96633387,0.0262510993144516,0.1346467391304348
Azerbaijan,2000,252143095.5768297,119575651.71524009,0.0226786206311862,0.1242740998838559
Azerbaijan,2001,285198508.64704967,131963660.06418867,0.0231206260817217,0.1377802690582959
Azerbaijan,2002,307088106.9361222,139894091.94333467,0.0224331377031766,0.0969351389878831
Azerbaijan,2003,382982034.9772602,176552162.3058079,0.024263625550969,0.112015503875969
Azerbaijan,2004,464256310.84313273,228249631.62565026,0.0262948113760521,0.108567279767667
Azerbaijan,2005,543308156.3287693,304521477.73320043,0.0229906967458574,0.1022012779552715
Azerbaijan,2006,1116126302.3234296,717111853.555619,0.0341775933255806,0.1350832806240776
Azerbaijan,2007,1743727218.0550683,946599792.1046376,0.0286419491898943,0.1098742053293656
Azerbaijan,2008,2346505284.372989,1607799225.919525,0.0329121114577,0.1046834138996751
Azerbaijan,2009,2072771917.5644302,1472909976.9465141,0.0332542168167071,0.0963695563695563
Azerbaijan,2010,1364801009.5451984,1476608733.5700493,0.027910043565289,0.087333284208975
Azerbaijan,2011,2596815692.636073,3080084995.8084607,0.0467013555547022,0.1384348321001707
Azerbaijan,2012,2694072405.3013926,3246122612.6303864,0.0465861825196323,0.1271589549262066
Azerbaijan,2013,2725110983.928356,3367574161.1974387,0.0454092330961465,0.1201947136163049
Azerbaijan,2014,2735096224.1389832,3427179917.0648217,0.0455501312398223,0.1252259386937482
Azerbaijan,2015,2906684069.668631,2900551382.1521516,0.0546487679293858,0.1412116892373485
Azerbaijan,2016,1938721734.8819244,1396969107.658322,0.0368852730317814,0.1041203400915631
Azerbaijan,2017,2034986550.1052055,1528859592.2938523,0.037563017324966,0.105599520383693
Azerbaijan,2018,2140923929.3747232,1672176470.5882354,0.035492933126904,0.1069609060465816
Azerbaijan,2019,2313619114.7417483,1854235294.1176472,0.0384901863578529,0.1183569256185934
Azerbaijan,2020,2717178377.0654893,2237764705.882353,0.0524152602506816,0.1305535536566114
Azerbaijan,2021,3077627476.9111657,2703176470.588236,0.0493051740712765,0.1527319861738899
Azerbaijan,2022,2991035294.1176476,2991035294.117647,0.0379953641226131,0.1449764776323668
Azerbaijan,2023,3228238282.2707577,3561670588.2352943,0.0460210314808281,0.1470620810259399
