Country,Year,military_expenditures_usd,military_expenditures_pct_gdp,military_expenditures_pct_govt,Capital City,Latitude,Longitude
Albania,1990,0.0,0.05888300719681199,,Tiranë (Tirana),41.3275,19.8189
Bosnia and Herzegovina,1990,,,,Sarajevo,43.8486,18.3564
Bulgaria,1990,794.5205479452054,0.038334434897554524,,Sofia,42.6975,23.3242
Croatia,1990,,,,Zagreb,45.8144,15.978
Estonia,1990,,,,Tallinn,59.437,24.7535
Hungary,1990,847.3892468899264,0.02563538027090413,,Budapest,47.498,19.0399
Kosovo,1990,,,,,,
Latvia,1990,,,,Riga,56.946,24.1059
Lithuania,1990,,,,Vilnius,54.6892,25.2798
North Macedonia,1990,,,,,,
Montenegro,1990,,,,Podgorica,42.4411,19.2636
Poland,1990,1540.7368421052631,0.026124857435062675,,Warszawa (Warsaw),52.2298,21.0118
Romania,1990,1739.025771104801,0.04547415049251034,0.1182121212121212,Bucuresti (Bucharest),44.4328,26.1043
Serbia,1990,,,,Beograd (Belgrade),44.8176,20.4633
Slovakia,1990,,,,Bratislava,48.1482,17.1067
Slovenia,1990,,,,Ljubljana,46.0511,14.5051
Belarus,1990,,,,Minsk,53.9,27.5667
Moldova,1990,,,,,,
Russia,1990,0.0,,,,,
Ukraine,1990,,,,Kyiv (Kiev),50.4454,30.5186
Austria,1990,1972.7016815163906,0.01195660266705593,0.02545085486767117,Wien (Vienna),48.2064,16.3707
Belgium,1990,4644.324240803758,0.023554404589172344,0.042795964449783654,Bruxelles-Brussel,50.8467,4.3499
Cyprus,1990,411.4090632650036,0.07374035612973695,,Lefkosia (Nicosia),35.1595,33.3669
Denmark,1990,2649.889473480099,0.019507570350491527,0.034880357332766135,København (Copenhagen),55.6759,12.5655
Finland,1990,2141.300984189828,0.01563351498637602,0.03215111256391697,Helsinki,60.1692,24.9402
France,1990,35774.430324984074,0.028052676270667626,0.05622724772588174,Paris,48.8534,2.3488
Germany,1990,39834.66687976497,0.025184327066083145,,Berlin,52.5244,13.4105
Greece,1990,3193.3764840678346,0.037982603270707835,0.08591844997108156,Athínai (Athens),37.9534,23.749
Iceland,1990,0.0,,,Reykjavík,64.1355,-21.8954
Ireland,1990,594.006010402921,0.012035032840437507,0.027730479202140598,Dublin,53.3331,-6.2489
Italy,1990,20734.625578569026,0.018807984132591955,0.03290179358167541,Roma (Rome),41.8947,12.4811
Luxembourg,1990,87.35571154840873,0.007883446808559241,,Luxembourg,49.6117,6.13
Malta,1990,21.152027665955206,0.00914918012232462,,Valletta,35.8997,14.5147
Netherlands,1990,7420.84963578912,0.023690198851014345,0.04733413099695087,Amsterdam,52.374,4.8897
Norway,1990,3394.869435471761,0.028862268942943678,0.05791094397209506,Oslo,59.9127,10.7461
Portugal,1990,1416.0831699333162,0.01840828125428998,0.04237879203757507,Lisboa (Lisbon),38.7169,-9.1399
Spain,1990,11695.038644543652,0.022933052089801613,0.053285661163171204,Madrid,40.4165,-3.7026
Sweden,1990,5913.117377031454,0.024622208777138353,0.03968083900226758,Stockholm,59.3326,18.0649
Switzerland,1990,4056.4081891214837,0.015721471875723647,0.05521370201258108,Bern,46.9481,7.4474
United Kingdom,1990,43545.094840134334,0.03983217694585004,0.10473097599391153,London,51.5085,-0.1257
Albania,1991,0.0,0.057912704218483296,,Tiranë (Tirana),41.3275,19.8189
Bosnia and Herzegovina,1991,,,,Sarajevo,43.8486,18.3564
Bulgaria,1991,232.17638659335964,0.030432315729749245,,Sofia,42.6975,23.3242
Croatia,1991,,,,Zagreb,45.8144,15.978
Estonia,1991,,,,Tallinn,59.437,24.7535
Hungary,1991,722.549153413242,0.02161469799463635,,Budapest,47.498,19.0399
Kosovo,1991,,,,,,
Latvia,1991,,,,Riga,56.946,24.1059
Lithuania,1991,,,,Vilnius,54.6892,25.2798
North Macedonia,1991,,,,,,
Montenegro,1991,,,,Podgorica,42.4411,19.2636
Poland,1991,1721.9958207656887,0.02251650225202113,,Warszawa (Warsaw),52.2298,21.0118
Romania,1991,1377.1940848728582,0.04773334664301174,0.12376470588235293,Bucuresti (Bucharest),44.4328,26.1043
Serbia,1991,,,,Beograd (Belgrade),44.8176,20.4633
Slovakia,1991,,,,Bratislava,48.1482,17.1067
Slovenia,1991,,,,Ljubljana,46.0511,14.5051
Belarus,1991,,,,Minsk,53.9,27.5667
Moldova,1991,,,,,,
Russia,1991,,,,,,
Ukraine,1991,,,,Kyiv (Kiev),50.4454,30.5186
Austria,1991,1994.0555459964503,0.01154217118472406,0.02411183788636655,Wien (Vienna),48.2064,16.3707
Belgium,1991,4624.500746001539,0.022876928471248247,0.04062619993980843,Bruxelles-Brussel,50.8467,4.3499
Cyprus,1991,418.3873687341136,0.07264776122466444,,Lefkosia (Nicosia),35.1595,33.3669
Denmark,1991,2671.9466705021214,0.019546801500063476,0.03465595483836954,København (Copenhagen),55.6759,12.5655
Finland,1991,2200.991548898181,0.01781231036493224,0.03088826988548437,Helsinki,60.1692,24.9402
France,1991,35869.12091521442,0.028121364380672125,0.05511945173771152,Paris,48.8534,2.3488
Germany,1991,37196.72973024063,0.019978349881887885,0.04283149040404851,Berlin,52.5244,13.4105
Greece,1991,3146.8990349561973,0.03484865109943005,0.08623751216763155,Athínai (Athens),37.9534,23.749
Iceland,1991,0.0,,,Reykjavík,64.1355,-21.8954
Ireland,1991,624.9326581187372,0.01253935312559922,0.027856254944061475,Dublin,53.3331,-6.2489
Italy,1991,21585.706771881138,0.018588526837555373,0.03179386580353284,Roma (Rome),41.8947,12.4811
Luxembourg,1991,97.33405221557328,0.008113851631067238,,Luxembourg,49.6117,6.13
Malta,1991,21.74481812471031,0.00871119892244603,,Valletta,35.8997,14.5147
Netherlands,1991,7246.192325009606,0.022485315309384305,0.04423100443907248,Amsterdam,52.374,4.8897
